F11,F12,F13,F21,F22,F23,F31,F32,F33,W
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.11258399
1.0050251,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.115181334
1.0100503,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.024839588
1.0150753,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.042897258
1.0201005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.085742325
1.0251256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.07056069
1.0301508,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.029645441
1.0351759,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.20886281
1.040201,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.035696536
1.0452261,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.121948
1.0502512,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.040406633
1.0552764,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.037350215
1.0603015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01975492
1.0653267,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.13287559
1.0703517,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.12223137
1.0753769,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.012625571
1.080402,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.121510535
1.0854272,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.15408154
1.0904523,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.07403679
1.0954773,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.09868609
1.1005025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.08128569
1.1055276,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.13193846
1.1105528,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.008293094
1.1155779,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.21351755
1.120603,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.10571194
1.1256281,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.02527918
1.1306533,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.018610002
1.1356784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.057077482
1.1407036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.18054748
1.1457286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.20322594
1.1507537,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.14230436
1.1557789,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.033510696
1.160804,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.007219158
1.1658292,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0606802
1.1708543,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.011734594
1.1758794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.08942431
1.1809045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.11223215
1.1859297,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.08328194
1.1909548,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.13999708
1.1959798,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.12400858
1.201005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.07373545
1.2060301,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.16738223
1.2110553,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.063440144
1.2160804,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.10202433
1.2211056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.15352374
1.2261306,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.33601925
1.2311558,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.036432624
1.2361809,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.043457314
1.241206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.052753873
1.2462312,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.21229392
1.2512562,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.23559038
1.2562814,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.15297897
1.2613065,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.117397025
1.2663317,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.106586546
1.2713568,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.20551853
1.276382,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.11719569
1.281407,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1177073
1.2864321,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.24244347
1.2914573,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3259466
1.2964824,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.52080095
1.3015075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.032628685
1.3065326,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0684246
1.3115578,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.37999576
1.3165829,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.14914945
1.3216081,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1537505
